"country","year","fdi_finance","fdi_mining","fdi_tech","cow_code","iso3c","USA","IdealPointDistance","agree","IdealPointFP.y","ln_fdi_finance","ln_fdi_mining","ln_fdi_tech","has_finance","has_mining","has_tech","gdp_constant","gdp_per_capita","trade_openness","distance_to_us","ln_gdp","ln_gdp_pc","ln_trade","ln_distance","country_fe","year_fe"
"Malaysia",2019,1771,177,241,820,"MYS",2,3.2421459,0.26,-0.6719879,7.47986413116503,5.18178355029209,5.48893772615669,1,1,1,364602265936.14,10902.9834855856,123.028562027943,NA,26.6220729140267,9.29679174503823,4.81241654002477,NA,"Malaysia","2019"
"Malaysia",2020,1632,147,205,820,"MYS",2,3.223525,0.30327868852459,-0.693884,7.39817409297047,4.99721227376411,5.32787616878958,1,1,1,344706479641.244,10171.4657842762,116.788182437638,NA,26.5659591082074,9.22734160690454,4.76036188751536,NA,"Malaysia","2020"
"Malaysia",2021,2087,245,231,820,"MYS",2,3.1180162,0.406976744186047,-0.6058812,7.64396194900253,5.50533153593236,5.44673737166631,1,1,1,356134704342.139,10388.2667120857,134.035994690727,NA,26.5985748792132,9.24843224747092,4.89810838097478,NA,"Malaysia","2021"
"Malaysia",2022,2508,250,247,820,"MYS",2,2.7262806,0.453846153846154,-0.5801756,7.82763954636642,5.52545293913178,5.51342874616498,1,1,1,388299855024.742,11191.6511756943,146.424604753908,NA,26.6850437003251,9.32292334856996,4.98651065266476,NA,"Malaysia","2022"
"Malaysia",2023,2018,203,194,820,"MYS",2,2.8073729,0.487068965517241,-0.5896829,7.61035761831284,5.31811999384422,5.27299955856375,1,1,1,402034268648.217,11445.3925275079,132.593461641599,NA,26.7198031673258,9.34534252865376,4.88728776764915,NA,"Malaysia","2023"
"Malaysia",2024,2162,200,224,820,"MYS",2,2.8002833,0.336283185840708,-0.5940813,7.67925142595306,5.30330490805908,5.41610040220442,1,1,1,422559964245.24,11883.79127749,137.362571161559,NA,26.7695972008806,9.38293067310699,4.92262393482958,NA,"Malaysia","2024"
"Mexico",1999,4135,321,618,70,"MEX",2,3.032127,0.355670103092784,-0.442593,8.32748441618826,5.77455154554441,6.4281052726846,1,1,1,899774820109.764,9264.97729259968,48.0122495761105,2000,27.5254103690875,9.13399668783677,3.87145617785234,7.60090245954208,"Mexico","1999"
"Mexico",2000,NA,327,653,70,"MEX",2,3.0020372,0.379518072289157,-0.4447842,NA,5.79301360838414,6.4831073514572,0,1,1,945027051117.631,9581.96970210753,49.9104091872497,2000,27.5744793895518,9.16763845547893,3.91022958195021,7.60090245954208,"Mexico","2000"
"Mexico",2001,4904,280,531,70,"MEX",2,3.11327,0.308988764044944,-0.5586,8.49801037199946,5.63835466933375,6.27664348934164,1,1,1,940766441516.06,9398.35074355724,44.7401090123173,2000,27.5699607432973,9.14828950005139,3.80087039263294,7.60090245954208,"Mexico","2001"
"Mexico",2002,7502,240,464,70,"MEX",2,2.9391737,0.300751879699248,-0.3011397,8.92305821954573,5.48479693349065,6.14203740558736,1,1,1,938540700989.319,9242.27886130016,45.209829259652,2000,27.5675920601619,9.13154376423839,3.81131452469359,7.60090245954208,"Mexico","2002"
"Mexico",2003,9196,424,462,70,"MEX",2,3.0539578,0.257731958762887,-0.2876668,9.1266326229027,6.05208916892442,6.13772705408623,1,1,1,949667522095.5,9221.99666693097,48.700416880838,2000,27.5793777835433,9.12934685134075,3.88568759023338,7.60090245954208,"Mexico","2003"
"Mexico",2004,10035,1807,567,70,"MEX",2,2.8445021,0.255434782608696,-0.1491921,9.21393390748631,7.49997654095212,6.34212141872115,1,1,1,983527357381.896,9421.28975988024,52.0406200335632,2000,27.6144112907404,9.15072727538285,3.95202456813065,7.60090245954208,"Mexico","2004"
"Mexico",2005,12731,2169,487,70,"MEX",2,2.816996,0.292079207920792,-0.082328,9.45187378840198,7.68248244653451,6.19031540585315,1,1,1,1004311720993.85,9491.51730225718,52.5626446517886,2000,27.635323568087,9.1581537631502,3.96200568972536,7.60090245954208,"Mexico","2005"
"Mexico",2006,13993,2968,501,70,"MEX",2,2.797725,0.277272727272727,-0.10182,9.54638394530584,7.99598047476376,6.21860011969173,1,1,1,1052569035045.56,9813.8280424425,54.4821160886169,2000,27.6822549918441,9.19154769483774,3.9978725026548,7.60090245954208,"Mexico","2006"
"Mexico",2007,15039,3139,532,70,"MEX",2,2.7947754,0.197916666666667,-0.1105544,9.61846859750383,8.0519780789023,6.27852142416584,1,1,1,1074439987409.3,9877.69532644737,55.2585243944498,2000,27.7028206998259,9.19803449697713,4.01202261617909,7.60090245954208,"Mexico","2007"
